206	26	-297457.27622	5629951.07263
207	26	-297459.72279	5629951.80666
208	26	-297462.18669	5629952.56574
209	26	-297464.63585	5629953.290390001
210	26	-297466.93475	5629953.927390001
211	26	-297468.88910000003	5629954.40115
212	26	-297470.40713	5629954.74051
213	26	-297471.49105	5629954.990730001
214	26	-297472.22704	5629955.15833
215	26	-297472.90882	5629955.30348
216	26	-297473.80097	5629955.4769
217	26	-297474.9193	5629955.61663
218	26	-297476.21184	5629955.6664700005
219	26	-297477.68017	5629955.744150001
220	26	-297479.24378	5629955.97073
221	26	-297480.8876	5629956.31195
222	26	-297482.639	5629956.7171600005
223	26	-297484.45559	5629957.223180001
224	26	-297486.32626	5629957.792660001
225	26	-297488.2599	5629958.370920001
226	26	-297490.24733	5629958.97358
227	26	-297492.23739	5629959.58872
228	26	-297494.19571	5629960.230400001
229	26	-297496.15066	5629960.917950001
230	26	-297498.08465	5629961.65493
230	30	-297564.32969	5630029.29198
231	26	-297499.97192	5629962.44917
231	30	-297562.08197	5630028.20815
232	26	-297501.84401	5629963.33102
232	30	-297559.86186	5630027.205510001
233	26	-297503.74846000003	5629964.313580001
233	30	-297557.61363	5630026.25239
234	26	-297505.66721	5629965.39099
234	30	-297555.23422	5630025.25927
235	26	-297507.58135	5629966.55035
235	30	-297552.79458	5630024.23299
236	26	-297509.51986	5629967.7640700005
236	30	-297550.37709	5630023.18719
237	26	-297511.49252	5629968.99002
237	30	-297548.01311	5630022.1368
238	26	-297513.51353	5629970.189990001
238	30	-297545.68957	5630021.07234
239	26	-297515.60837000003	5629971.3463200005
239	30	-297543.39321	5630019.97847
240	26	-297517.78376	5629972.46358
240	30	-297541.05959	5630018.82586
241	26	-297520.04443	5629973.56169
241	30	-297538.71275	5630017.64013
242	26	-297522.36775	5629974.661850001
242	30	-297536.37815	5630016.4461
243	26	-297524.72302	5629975.771690001
243	30	-297534.11169	5630015.275760001
244	26	-297527.07978000003	5629976.896430001
244	30	-297531.85338	5630014.07983
245	26	-297529.433	5629978.048780001
245	30	-297529.62829	5630012.86515
246	26	-297531.79187	5629979.23648
246	30	-297527.38059	5630011.605020001
247	26	-297534.1564	5629980.45765
247	30	-297525.12318	5630010.349110001
248	26	-297536.54185	5629981.727410001
248	30	-297522.87973	5630009.1552
249	26	-297538.93782	5629983.04856
249	30	-297520.64891	5630008.00643
250	26	-297541.33853	5629984.40362
250	30	-297518.49179	5630006.9287
251	26	-297543.72778	5629985.766340001
251	30	-297516.45518	5630005.93769
252	26	-297546.14163	5629987.1638
252	30	-297514.56145	5630005.02909
253	26	-297548.55876	5629988.622260001
253	30	-297512.88957	5630004.24366
254	26	-297550.95129	5629990.15446
254	30	-297511.46557	5630003.588450001
255	26	-297553.28562	5629991.74165
255	30	-297510.24403	5630003.0189000005
256	26	-297555.61393	5629993.369390001
256	30	-297509.19214	5630002.4981
257	26	-297557.96329	5629995.020280001
257	30	-297508.27024	5630001.98512
258	26	-297560.31544	5629996.684760001
258	30	-297507.41862	5630001.42721
259	26	-297562.64776	5629998.358010001
259	30	-297506.6251	5630000.784940001
260	26	-297564.94483	5630000.041250001
260	30	-297505.90413	5630000.038600001
261	26	-297567.20002	5630001.73515
261	30	-297505.36950000003	5629999.298470001
262	26	-297569.51047	5630003.47429
262	30	-297505.01078	5629998.64367
263	26	-297571.86318	5630005.22312
263	30	-297504.75067	5629998.04115
264	26	-297574.22725	5630006.933800001
264	30	-297504.55962	5629997.390670001
265	26	-297576.56376	5630008.557200001
265	30	-297504.46235	5629996.57354
266	26	-297578.94327	5630010.117310001
266	30	-297504.53932	5629995.6736
267	30	-297504.79028	5629994.79475
268	30	-297505.14399	5629993.81092
269	30	-297505.51463	5629992.746800001
270	30	-297505.85597	5629991.683750001
271	30	-297506.15602	5629990.68924
272	30	-297506.42961	5629989.79057
273	30	-297506.68324	5629988.973560001
274	30	-297506.91759	5629988.1836
275	30	-297507.10442	5629987.33332
276	30	-297507.29614	5629986.39391
277	30	-297507.54875	5629985.32227
278	30	-297507.81989	5629984.1308
279	30	-297508.0501	5629982.889710001
280	30	-297508.23631	5629981.608960001
281	30	-297508.3405	5629980.258160001
281	34	-297499.08496	5629938.4356
282	30	-297508.33246	5629978.829770001
282	34	-297499.23685	5629939.71954
282	35	-297499.8181	5629938.512320001
283	30	-297508.24275	5629977.35137
283	34	-297499.39771	5629941.0417100005
283	35	-297499.93856	5629939.728
284	30	-297508.05147	5629975.83519
284	34	-297499.56458	5629942.391550001
284	35	-297500.06641	5629941.00177
285	30	-297507.71196	5629974.29812
285	34	-297499.74113	5629943.7704300005
285	35	-297500.20014000003	5629942.313630001
286	30	-297507.23337000003	5629972.75513
286	34	-297499.93579	5629945.17064
286	35	-297500.33747	5629943.63504
287	30	-297506.67306	5629971.173400001
287	34	-297500.15031	5629946.58542
287	35	-297500.48574	5629944.9397100005
288	30	-297506.15781	5629969.58671
288	34	-297500.36838	5629948.00925
288	35	-297500.66661	5629946.26212
289	30	-297505.80101	5629968.04005
289	34	-297500.56868	5629949.443530001
289	35	-297500.87497	5629947.61991
290	30	-297505.5797	5629966.467370001
290	34	-297500.74044	5629950.890120001
290	35	-297501.07291	5629949.0107700005
291	30	-297505.43722	5629964.828740001
291	34	-297500.88998	5629952.35312
291	35	-297501.24258	5629950.423520001
292	30	-297505.32654	5629963.1674500005
292	34	-297501.02566	5629953.79509
292	35	-297501.38479	5629951.854400001
293	30	-297505.18524	5629961.47903
293	34	-297501.15181	5629955.19043
293	35	-297501.49396	5629953.27558
294	30	-297504.93714	5629959.78086
294	34	-297501.31497	5629956.5891700005
294	35	-297501.588	5629954.679260001
295	30	-297504.5661	5629958.093540001
295	34	-297501.56997	5629957.983390001
295	35	-297501.71348	5629956.08621
296	30	-297504.12232	5629956.39615
296	34	-297501.9628	5629959.34599
296	35	-297501.90208	5629957.51138
297	30	-297503.64012	5629954.653580001
297	34	-297502.52715	5629960.65101
297	35	-297502.22638	5629958.94716
298	30	-297503.16442	5629952.849780001
298	34	-297503.25646	5629961.90943
298	35	-297502.7528	5629960.297010001
299	30	-297502.74375	5629950.98259
299	34	-297504.09376	5629963.11981
299	35	-297503.46187	5629961.448050001
300	30	-297502.38668	5629949.06862
300	34	-297505.00219	5629964.285200001
300	35	-297504.26829	5629962.42678
301	30	-297502.06251	5629947.110160001
301	34	-297505.96869	5629965.363770001
301	35	-297505.20832	5629963.37957
302	30	-297501.77068	5629945.09647
302	34	-297507.00699	5629966.351100001
302	35	-297506.2809	5629964.349160001
303	30	-297501.52359	5629943.02804
303	34	-297508.11387	5629967.264330001
303	35	-297507.45034	5629965.333930001
304	30	-297501.31135	5629940.97352
304	34	-297509.27735	5629968.12363
304	35	-297508.68531000003	5629966.322790001
305	34	-297510.48128	5629968.9512600005
305	35	-297509.95315	5629967.29207
306	34	-297511.70825	5629969.76522
306	35	-297511.22857	5629968.21959
307	34	-297512.9425	5629970.5739
307	35	-297512.49722	5629969.091030001
308	34	-297514.18536	5629971.3742
308	35	-297513.77486	5629969.92796
309	34	-297515.42778	5629972.1326
309	35	-297515.09162	5629970.778480001
310	34	-297516.68436	5629972.84183
310	35	-297516.4623	5629971.626250001
